05AD,0596,֭,֖,HEBREW ACCENT DEHI,BREW ACCENT TIPEHA
05AE,0598,֮,֘,HEBREW ACCENT ZINOR,BREW ACCENT ZARQA
05A8,0599,֨,֙,HEBREW ACCENT QADMA,BREW ACCENT PASHTA
05A4,059A,֤,֚,HEBREW ACCENT MAHAPAKH,BREW ACCENT YETIV
1AB4,06DB,᪴,ۛ,COMBINING TRIPLE DOT,ABIC SMALL HIGH THREE DOTS
20DB,06DB,⃛,ۛ,COMBINING THREE DOTS ABOVE,ABIC SMALL HIGH THREE DOTS
0619,0313,ؙ,̓,ARABIC SMALL DAMMA,MBINING COMMA ABOVE
08F3,0313,ࣳ,̓,ARABIC SMALL HIGH WAW,MBINING COMMA ABOVE
0343,0313,̓,̓,COMBINING GREEK KORONIS,MBINING COMMA ABOVE
0315,0313,̕,̓,COMBINING COMMA ABOVE RIGHT,MBINING COMMA ABOVE
064F,0313,ُ,̓,ARABIC DAMMA,MBINING COMMA ABOVE
065D,0314,ٝ,̔,ARABIC REVERSED DAMMA,MBINING REVERSED COMMA ABOVE
059C,0301,֜,́,HEBREW ACCENT GERESH,MBINING ACUTE ACCENT
059D,0301,֝,́,HEBREW ACCENT GERESH MUQDAM,MBINING ACUTE ACCENT
0618,0301,ؘ,́,ARABIC SMALL FATHA,MBINING ACUTE ACCENT
0747,0301,݇,́,SYRIAC OBLIQUE LINE ABOVE,MBINING ACUTE ACCENT
0341,0301,́,́,COMBINING ACUTE TONE MARK,MBINING ACUTE ACCENT
0954,0301,॔,́,DEVANAGARI ACUTE ACCENT,MBINING ACUTE ACCENT
064E,0301,َ,́,ARABIC FATHA,MBINING ACUTE ACCENT
0340,0300,̀,̀,COMBINING GRAVE TONE MARK,MBINING GRAVE ACCENT
0953,0300,॓,̀,DEVANAGARI GRAVE ACCENT,MBINING GRAVE ACCENT
030C,0306,̌,̆,COMBINING CARON,MBINING BREVE
A67C,0306,꙼,̆,COMBINING CYRILLIC KAVYKA,MBINING BREVE
0658,0306,٘,̆,ARABIC MARK NOON GHUNNA,MBINING BREVE
065A,0306,ٚ,̆,ARABIC VOWEL SIGN SMALL V ABOVE,MBINING BREVE
036E,0306,ͮ,̆,COMBINING LATIN SMALL LETTER V,MBINING BREVE
06E8,0306 0307,ۨ,̆̇,ARABIC SMALL HIGH NOON,MBINING BREVE, COMBINING DOT ABOVE
0310,0306 0307,̐,̆̇,COMBINING CANDRABINDU,MBINING BREVE, COMBINING DOT ABOVE
0901,0306 0307,ँ,̆̇,DEVANAGARI SIGN CANDRABINDU,MBINING BREVE, COMBINING DOT ABOVE
0981,0306 0307,ঁ,̆̇,BENGALI SIGN CANDRABINDU,MBINING BREVE, COMBINING DOT ABOVE
0A81,0306 0307,ઁ,̆̇,GUJARATI SIGN CANDRABINDU,MBINING BREVE, COMBINING DOT ABOVE
0B01,0306 0307,ଁ,̆̇,ORIYA SIGN CANDRABINDU,MBINING BREVE, COMBINING DOT ABOVE
0C00,0306 0307,ఀ,̆̇,TELUGU SIGN COMBINING CANDRABINDU ABOVE,MBINING BREVE, COMBINING DOT ABOVE
0C81,0306 0307,ಁ,̆̇,KANNADA SIGN CANDRABINDU,MBINING BREVE, COMBINING DOT ABOVE
0D01,0306 0307,ഁ,̆̇,MALAYALAM SIGN CANDRABINDU,MBINING BREVE, COMBINING DOT ABOVE
114BF,0306 0307,𑒿,̆̇,TIRHUTA SIGN CANDRABINDU,MBINING BREVE, COMBINING DOT ABOVE
1CD0,0302,᳐,̂,VEDIC TONE KARSHANA,MBINING CIRCUMFLEX ACCENT
0311,0302,̑,̂,COMBINING INVERTED BREVE,MBINING CIRCUMFLEX ACCENT
065B,0302,ٛ,̂,ARABIC VOWEL SIGN INVERTED SMALL V ABOVE,MBINING CIRCUMFLEX ACCENT
07EE,0302,߮,̂,NKO COMBINING LONG DESCENDING TONE,MBINING CIRCUMFLEX ACCENT
A6F0,0302,꛰,̂,BAMUM COMBINING MARK KOQNDON,MBINING CIRCUMFLEX ACCENT
05AF,030A,֯,̊,HEBREW MARK MASORA CIRCLE,MBINING RING ABOVE
06DF,030A,۟,̊,ARABIC SMALL HIGH ROUNDED ZERO,MBINING RING ABOVE
17D3,030A,៓,̊,KHMER SIGN BATHAMASAT,MBINING RING ABOVE
309A,030A,゚,̊,COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK,MBINING RING ABOVE
0652,030A,ْ,̊,ARABIC SUKUN,MBINING RING ABOVE
0B82,030A,ஂ,̊,TAMIL SIGN ANUSVARA,MBINING RING ABOVE
1036,030A,ံ,̊,MYANMAR SIGN ANUSVARA,MBINING RING ABOVE
17C6,030A,ំ,̊,KHMER SIGN NIKAHIT,MBINING RING ABOVE
11300,030A,𑌀,̊,GRANTHA SIGN COMBINING ANUSVARA ABOVE,MBINING RING ABOVE
0E4D,030A,ํ,̊,THAI CHARACTER NIKHAHIT,MBINING RING ABOVE
0ECD,030A,ໍ,̊,LAO NIGGAHITA,MBINING RING ABOVE
0366,030A,ͦ,̊,COMBINING LATIN SMALL LETTER O,MBINING RING ABOVE
2DEA,030A,ⷪ,̊,COMBINING CYRILLIC LETTER O,MBINING RING ABOVE
08EB,0308,࣫,̈,ARABIC TONE TWO DOTS ABOVE,MBINING DIAERESIS
07F3,0308,߳,̈,NKO COMBINING DOUBLE DOT ABOVE,MBINING DIAERESIS
064B,030B,ً,̋,ARABIC FATHATAN,MBINING DOUBLE ACUTE ACCENT
08F0,030B,ࣰ,̋,ARABIC OPEN FATHATAN,MBINING DOUBLE ACUTE ACCENT
0342,0303,͂,̃,COMBINING GREEK PERISPOMENI,MBINING TILDE
0653,0303,ٓ,̃,ARABIC MADDAH ABOVE,MBINING TILDE
